timestamp_utc,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,DISTANCE_W_MIL,THROTTLE_POS_B
2026-05-11T13:49:22+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.8235294117647 percent,88 degree_Celsius,3.125 percent,9.375 percent,45 kilopascal,1439.0 revolutions_per_minute,27.0 kilometer_per_hour,14.0 degree,74 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.815 volt,0.155 volt,EOBD (Europe),0.0 kilometer,14.901960784313726 percent
2026-05-11T13:49:26+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",41.568627450980394 percent,88 degree_Celsius,0.0 percent,9.375 percent,44 kilopascal,1472.25 revolutions_per_minute,27.0 kilometer_per_hour,22.5 degree,74 degree_Celsius,15.294117647058824 percent,"((), (False, False, False, False), (False, False, True, True))",0.08 volt,0.16 volt,EOBD (Europe),0.0 kilometer,14.901960784313726 percent
2026-05-11T13:49:29+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294117647 percent,88 degree_Celsius,0.78125 percent,9.375 percent,33 kilopascal,1366.5 revolutions_per_minute,25.0 kilometer_per_hour,18.0 degree,74 degree_Celsius,19.215686274509803 percent,"((), (False, False, False, False), (False, False, True, True))",0.775 volt,0.225 volt,EOBD (Europe),0.0 kilometer,27.45098039215686 percent
2026-05-11T13:49:33+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",95.29411764705883 percent,89 degree_Celsius,-0.78125 percent,9.375 percent,99 kilopascal,1895.0 revolutions_per_minute,36.0 kilometer_per_hour,3.0 degree,75 degree_Celsius,85.49019607843137 percent,"((), (False, False, False, False), (False, False, True, True))",0.09 volt,0.67 volt,EOBD (Europe),0.0 kilometer,85.88235294117646 percent
2026-05-11T13:49:37+00:00,MIL=False DTC=0 ignition=spark,"('Open loop due to engine load OR fuel cut due to deceleration', '')",25.098039215686274 percent,88 degree_Celsius,0.0 percent,9.375 percent,41 kilopascal,1102.25 revolutions_per_minute,44.0 kilometer_per_hour,-16.5 degree,74 degree_Celsius,14.901960784313726 percent,"((), (False, False, False, False), (False, False, True, True))",0.73 volt,0.565 volt,EOBD (Europe),0.0 kilometer,85.88235294117646 percent
2026-05-11T13:49:40+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",60.0 percent,89 degree_Celsius,-2.34375 percent,9.375 percent,49 kilopascal,2041.25 revolutions_per_minute,50.0 kilometer_per_hour,29.0 degree,72 degree_Celsius,18.823529411764707 percent,"((), (False, False, False, False), (False, False, True, True))",0.66 volt,0.425 volt,EOBD (Europe),0.0 kilometer,16.470588235294116 percent
2026-05-11T13:49:44+00:00,MIL=False DTC=0 ignition=spark,"('Open loop due to engine load OR fuel cut due to deceleration', '')",21.568627450980394 percent,89 degree_Celsius,0.0 percent,9.375 percent,27 kilopascal,1943.75 revolutions_per_minute,47.0 kilometer_per_hour,-11.5 degree,72 degree_Celsius,16.07843137254902 percent,"((), (False, False, False, False), (False, False, True, True))",0.055 volt,0.045 volt,EOBD (Europe),0.0 kilometer,16.862745098039216 percent
2026-05-11T13:49:48+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.8235294117647 percent,89 degree_Celsius,-0.78125 percent,9.375 percent,48 kilopascal,1938.25 revolutions_per_minute,47.0 kilometer_per_hour,27.0 degree,72 degree_Celsius,19.215686274509803 percent,"((), (False, False, False, False), (False, False, True, True))",0.18 volt,0.14 volt,EOBD (Europe),0.0 kilometer,14.509803921568627 percent
2026-05-11T13:49:51+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",21.568627450980394 percent,89 degree_Celsius,0.0 percent,9.375 percent,26 kilopascal,1926.0 revolutions_per_minute,47.0 kilometer_per_hour,-12.0 degree,72 degree_Celsius,16.470588235294116 percent,"((), (False, False, False, False), (False, False, True, True))",0.07 volt,0.065 volt,EOBD (Europe),0.0 kilometer,14.901960784313726 percent
2026-05-11T13:49:55+00:00,MIL=False DTC=0 ignition=spark,"('Open loop due to engine load OR fuel cut due to deceleration', '')",32.94117647058823 percent,88 degree_Celsius,-1.5625 percent,9.375 percent,42 kilopascal,897.25 revolutions_per_minute,41.0 kilometer_per_hour,4.5 degree,72 degree_Celsius,14.117647058823529 percent,"((), (False, False, False, False), (False, False, True, True))",0.11 volt,0.08 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:49:59+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",35.68627450980392 percent,88 degree_Celsius,0.78125 percent,9.375 percent,44 kilopascal,854.0 revolutions_per_minute,31.0 kilometer_per_hour,5.0 degree,72 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.27 volt,0.13 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:50:02+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",34.90196078431372 percent,89 degree_Celsius,0.78125 percent,9.375 percent,44 kilopascal,861.25 revolutions_per_minute,18.0 kilometer_per_hour,6.0 degree,72 degree_Celsius,13.72549019607843 percent,"((), (False, False, False, False), (False, False, True, True))",0.205 volt,0.145 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:50:06+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294117647 percent,89 degree_Celsius,0.0 percent,9.375 percent,34 kilopascal,1134.5 revolutions_per_minute,15.0 kilometer_per_hour,15.0 degree,72 degree_Celsius,14.901960784313726 percent,"((), (False, False, False, False), (False, False, True, True))",0.775 volt,0.16 volt,EOBD (Europe),0.0 kilometer,14.117647058823529 percent
2026-05-11T13:50:10+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.666666666666668 percent,90 degree_Celsius,-3.90625 percent,9.375 percent,37 kilopascal,926.5 revolutions_per_minute,12.0 kilometer_per_hour,21.0 degree,72 degree_Celsius,14.901960784313726 percent,"((), (False, False, False, False), (False, False, True, True))",0.07 volt,0.17 volt,EOBD (Europe),0.0 kilometer,13.72549019607843 percent
2026-05-11T13:50:14+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",95.29411764705883 percent,89 degree_Celsius,-7.8125 percent,9.375 percent,99 kilopascal,1095.5 revolutions_per_minute,15.0 kilometer_per_hour,-4.5 degree,72 degree_Celsius,57.254901960784316 percent,"((), (False, False, False, False), (False, False, True, True))",0.16 volt,0.74 volt,EOBD (Europe),0.0 kilometer,85.88235294117646 percent
2026-05-11T13:50:17+00:00,MIL=False DTC=0 ignition=spark,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",95.68627450980392 percent,89 degree_Celsius,-2.34375 percent,9.375 percent,89 kilopascal,2503.5 revolutions_per_minute,33.0 kilometer_per_hour,-11.5 degree,72 degree_Celsius,14.901960784313726 percent,"((), (False, False, False, False), (False, False, True, True))",0.105 volt,0.065 volt,EOBD (Europe),0.0 kilometer,17.254901960784313 percent
